"Countries","CO2Kg/1000"
"United States [+]","0.23"
"United Kingdom [+]","0.11"
"Germany [+]","0.15"
"France [+]","0.1"
"Japan [+]","0.21"
"Spain [+]","0.13"
"Italy [+]","0.13"
"Portugal [+]","0.11"
"Greece [+]","0.17"
"Ireland [+]","0.07"
"United Arab Emirates [+]","0.3"
"Afghanistan [+]","0.11"
"Antigua and Barbuda [+]","0.44"
"Albania [+]","0.11"
"Armenia [+]","0.17"
"Angola [+]","0.12"
"Argentina [+]","0.19"
"Austria [+]","0.14"
"Australia [+]","0.29"
"Azerbaijan [+]","0.25"
"Bosnia and Herzegovina [+]","0.3"
"Barbados [+]","0.45"
"Bangladesh [+]","0.11"
"Belgium [+]","0.16"
"Burkina Faso [+]","0.11"
"Bulgaria [+]","0.27"
"Bahrain [+]","0.52"
"Burundi [+]","0.08"
"Benin [+]","0.2"
"Brunei [+]","0.27"
"Bolivia [+]","0.23"
"Brazil [+]","0.16"
"Bahamas [+]","0.33"
"Bhutan [+]","0.25"
"Botswana [+]","0.18"
"Belarus [+]","0.32"
"Belize [+]","0.25"
"Canada [+]","0.31"
"Democratic Republic of the Congo [+]","0.03"
"Central African Republic [+]","0.06"
"Republic of the Congo [+]","0.4"
"Switzerland [+]","0.06"
"Côte d'Ivoire [+]","0.1"
"Chile [+]","0.17"
"Cameroon [+]","0.1"
"China [+]","0.5"
"Colombia [+]","0.1"
"Costa Rica [+]","0.07"
"Cuba [+]","0.08"
"Cabo Verde [+]","0.25"
"Cyprus [+]","0.18"
"Czechia [+]","0.23"
"Djibouti [+]","0.11"
"Denmark [+]","0.08"
"Dominica [+]","0.25"
"Dominican Republic [+]","0.13"
"Algeria [+]","0.35"
"Ecuador [+]","0.22"
"Estonia [+]","0.29"
"Egypt [+]","0.21"
"Eritrea [+]","0.05"
"Ethiopia [+]","0.07"
"Finland [+]","0.14"
"Fiji [+]","0.17"
"Gabon [+]","0.17"
"Grenada [+]","0.2"
"Georgia [+]","0.2"
"Ghana [+]","0.13"
"The Gambia [+]","0.1"
"Guinea [+]","0.1"
"Equatorial Guinea [+]","0.29"
"Guatemala [+]","0.13"
"Guinea-Bissau [+]","0.09"
"Guyana [+]","0.16"
"Hong Kong [+]","0.07"
"Honduras [+]","0.17"
"Croatia [+]","0.15"
"Haiti [+]","0.1"
"Hungary [+]","0.16"
"Indonesia [+]","0.19"
"Israel [+]","0.1"
"India [+]","0.28"
"Iraq [+]","0.46"
"Iran [+]","0.54"
"Iceland [+]","0.15"
"Jamaica [+]","0.3"
"Jordan [+]","0.24"
"Kenya [+]","0.09"
"Kyrgyzstan [+]","0.33"
"Cambodia [+]","0.23"
"Kiribati [+]","0.3"
"Comoros [+]","0.1"
"Saint Kitts and Nevis [+]","0.22"
"North Korea [+]","0.51"
"South Korea [+]","0.27"
"Kuwait [+]","0.51"
"Kazakhstan [+]","0.43"
"Laos [+]","0.35"
"Lebanon [+]","0.39"
"Saint Lucia [+]","0.3"
"Sri Lanka [+]","0.08"
"Liberia [+]","0.2"
"Lesotho [+]","0.12"
"Lithuania [+]","0.13"
"Luxembourg [+]","0.11"
"Latvia [+]","0.12"
"Libya [+]","0.43"
"Morocco [+]","0.26"
"Moldova [+]","0.26"
"Madagascar [+]","0.13"
"North Macedonia [+]","0.22"
"Mali [+]","0.13"
"Myanmar [+]","0.18"
"Mongolia [+]","0.64"
"Mauritania [+]","0.18"
"Malta [+]","0.08"
"Mauritius [+]","0.16"
"Maldives [+]","0.24"
"Malawi [+]","0.06"
"Mexico [+]","0.17"
"Malaysia [+]","0.28"
"Mozambique [+]","0.22"
"Namibia [+]","0.18"
"Niger [+]","0.08"
"Nigeria [+]","0.12"
"Nicaragua [+]","0.13"
"Netherlands [+]","0.15"
"Norway [+]","0.12"
"Nepal [+]","0.12"
"New Zealand [+]","0.15"
"Oman [+]","0.62"
"Panama [+]","0.1"
"Peru [+]","0.13"
"Papua New Guinea [+]","0.18"
"Philippines [+]","0.16"
"Pakistan [+]","0.18"
"Poland [+]","0.25"
"Palau [+]","5.7"
"Paraguay [+]","0.1"
"Qatar [+]","0.39"
"Romania [+]","0.13"
"Russia [+]","0.48"
"Rwanda [+]","0.04"
"Saudi Arabia [+]","0.37"
"Solomon Islands [+]","0.19"
"Seychelles [+]","0.39"
"Sudan [+]","0.12"
"Sweden [+]","0.07"
"Singapore [+]","0.1"
"Slovenia [+]","0.17"
"Slovakia [+]","0.22"
"Sierra Leone [+]","0.07"
"Senegal [+]","0.2"
"Somalia [+]","0.04"
"Suriname [+]","0.3"
"Sao Tome and Principe [+]","0.17"
"El Salvador [+]","0.14"
"Syria [+]","0.55"
"Eswatini [+]","0.14"
"Chad [+]","0.09"
"Togo [+]","0.12"
"Thailand [+]","0.22"
"Tajikistan [+]","0.27"
"Timor-Leste [+]","0.1"
"Turkmenistan [+]","0.85"
"Tunisia [+]","0.25"
"Tonga [+]","0.25"
"Türkiye [+]","0.17"
"Trinidad and Tobago [+]","0.84"
"Taiwan [+]","0.24"
"Tanzania [+]","0.08"
"Ukraine [+]","0.35"
"Uganda [+]","0.07"
"Uruguay [+]","0.09"
"Uzbekistan [+]","0.47"
"Saint Vincent and the Grenadines [+]","0.16"
"Venezuela [+]","0.19"
"Viet Nam [+]","0.31"
"Vanuatu [+]","0.25"
"Samoa [+]","0.31"
"Yemen [+]","0.1"
"South Africa [+]","0.55"
"Zambia [+]","0.11"
"Zimbabwe [+]","0.23"
